indentometer	corneometer	tewameter	melanin	erythema	Age	MARKVU.PGA.AGE	height	weight	BMI	SUR1_GY	SUR1.T2D	SUR1.HBP	SUR1.Hlip	SUR1.T2D.HBP.Hlip	SUR1.T2D.Hlip	SUR1.PAD	SUR1.Tuber	SUR1.stroke	SUR2.1	SUR2.2	SUR2.3	SUR2.4	SUR2.5	SUR2.6	SUR2.7	SUR3.2	SUR3.3	SUR3.4	SUR4.1	SUR4.3	SUR5.1	SUR5.2	SUR5.3	SUR5.4	SUR5.5_GY	SUR5.6_GY
SUR1_GY	-0.0744066855534464	0.0577392153271221	0.0109340576176052	-0.0977939235134141	-0.125010610147242	-0.256771229299975	-0.0299939264927788	-0.0277066472830698	-0.104998892380831	-0.212387089843033	1	0.397209988007162	0.625389691402302	0.573989289470704	0.955519522381407	0.689899919843016	0.294687947487775	0.202642838646152	0.215820305814005	0.0192232829559082	0.042312131642735	-0.114166787121463	-0.0831944722991343	-0.0274134515570629	-0.0796243152181969	0.00212759058457623	0.00786252771919564	0.0451200390265087	0.0770806977714357	0.0417690399127723	0.0380906159768106	0.00789847218159305	0.00675924060358343	0.0629377573536036	-0.09349262389728	0.0589570668446773	0.0141918769776275
SUR1.T2D	-0.0237700006352905	0.0484234544299675	-0.00201136688463455	-0.0843702519005007	-0.0779863515528585	-0.0897781363246033	-0.0315682440927232	0.0191841397348789	-0.0289954879379319	-0.0873495591981021	0.397209988007162	1	0.254158595615305	0.234815867260977	0.415700546878634	0.57575015822229	0.282503153468242	0.443652550926772	0.404812597802729	-0.0135150422754937	0.022806175572651	-0.0948747150143096	-0.0840510268276784	-0.0453316069730052	-0.0504328106984549	0.00266289237705631	-0.0162673739975405	6.12029083705532e-05	0.0237679036635607	-0.0157499711743121	-0.0173621595568275	-0.0121020180580912	-0.0405293542191049	0.0551438190490937	0.0151879710303035	0.0534771186850199	0.0411596662455758
SUR1.HBP	-0.0200407150004941	0.061117081286762	0.0286660033242699	-0.0578465967801003	-0.122250893045348	-0.173656380497531	-0.0485546901770119	0.0292687423657876	-0.140813053492201	-0.182811776081685	0.625389691402302	0.254158595615305	1	0.247475259105771	0.654502264740406	0.236790763631207	0.181274677055282	0.291143881456123	0.313967611633355	0.0220369540899247	0.0524482864145622	-0.0493487358653357	-0.057102899616772	-0.0331599587915116	-0.0319060949125487	-0.0392721272395052	0.0483355386254455	0.0588993985376511	-0.0215698857331755	0.0005057940014575	0.0179906491062535	-0.0249394372381187	0.00257923181396831	0.106273294506815	-0.0771290066464944	0.0128999537540825	0.0527791980274474
SUR1.Hlip	-0.0773020332885065	0.0175290636619438	0.00233896183280189	-0.0387776709416547	-0.0362469360480541	-0.0977361925197353	0.037452926367748	-0.0498492722973561	-0.00722502360136219	-0.0643725792519444	0.573989289470704	0.234815867260977	0.247475259105771	1	0.600709117946822	0.831989210263009	0.34028795844613	0.319384872010089	0.322894306039863	0.022372608405312	0.0960159660413556	-0.0730076953709858	-0.0554084873662467	-0.0320755171398863	-0.0230769512625296	0.0106452223370935	0.0489110137052149	0.0582408051293876	0.0323576438315351	0.0111397345222298	0.0161605668466632	-0.00822469592627549	-0.00126179063874494	-0.02024136030031	-0.0468638779402861	0.0345819872991255	0.0312798906582275
SUR1.T2D.HBP.Hlip	-0.0811359756821342	0.0603429581122008	0.0027427677653935	-0.0899759654819794	-0.124167549564149	-0.241874996834575	-0.0168297878114329	-0.0289779962553852	-0.108883999187132	-0.208307094286328	0.955519522381407	0.415700546878634	0.654502264740406	0.600709117946822	1	0.722015514788859	0.19678364542426	0.190373853850606	0.205321657825544	0.00509177635738363	0.0417880190895711	-0.130298408288174	-0.0901585207832136	-0.0451655522333444	-0.0809284509224523	-0.000131917663537452	-0.00592860692416821	0.0520896333350293	0.050357523178499	0.00634376554150125	0.0295733950173642	0.0134643106209025	0.00189845174386416	0.0667883880382183	-0.0870736453429254	0.0582420467465003	0.0307416496861514
SUR1.T2D.Hlip	-0.0603280391997636	0.0549630375816721	-0.00698359990538992	-0.0907781946057083	-0.0921852242810001	-0.150825652129587	0.0137424795181513	-0.0407794578667099	-0.0376862459351418	-0.120931297931097	0.689899919843016	0.57575015822229	0.236790763631207	0.831989210263009	0.722015514788859	1	0.284784211279333	0.261436002939143	0.261877683191291	0.0182461997030869	0.060583042862729	-0.114981512693746	-0.0937438025944995	-0.0508937005673877	-0.0381481535266828	0.0100815600736985	0.00885928045928817	0.0291831321026209	0.0589782477782432	0.00786304664905819	-0.00839722358572541	-0.0039127889957498	-0.00809494607503364	-0.0161202878114523	-0.0459390006984397	0.0717053327274323	0.01916743463561
SUR1.PAD	-0.0237859463919274	0.0221220790889713	0.0218980088637301	-0.0455161253209077	-0.0112893038132729	-0.138152135147433	-0.0349520430836495	0.0138171501423957	0.0265826024690573	-0.010316741101213	0.294687947487775	0.282503153468242	0.181274677055282	0.34028795844613	0.19678364542426	0.284784211279333	1	0.638722210559629	0.6551661534004	0.0201375405280915	0.0299202841668437	-0.0627480904711726	-0.0465460804494021	0.0154263841839068	-0.0101586944465874	0.00861788352161657	0.0401390272911933	-0.0172155120940277	0.0459274615623109	0.0438596405093406	0.04695721522718	-0.0152456043231632	-0.0274365704373985	0.00445176394792637	-0.0147002316774769	0.00994983317262351	-0.0517530100451882
SUR1.Tuber	-0.0348524627727197	0.00637375989456737	0.0219413939487287	-0.0294433547420646	-0.014573424582087	-0.00103390939654065	-0.0188648881029367	0.00905522575657286	0.0347579825106409	0.0446427288822804	0.202642838646152	0.443652550926772	0.291143881456123	0.319384872010089	0.190373853850606	0.261436002939143	0.638722210559629	1	0.87589959766002	-0.0040297400956071	0.0238810072186731	-0.0520194703085022	-0.0134955015400221	0.00810763290940334	-0.00969395014014772	-0.0307363424436684	0.0690382467351474	0.0530751810398009	0.0203927612522455	0.00816438233687347	0.0481868431937408	-0.0293431735403014	-0.0165346855584678	0.05210686342374	0.0113365987440585	-0.0572565060654373	-0.0323852345411109
SUR1.stroke	-0.0301924555652326	0.0136516701453815	0.0257964998802231	-0.0421986699531079	-0.0342285309338147	-0.0361458484075104	-0.0102744705796884	0.0096940371247221	-0.0346166060779235	-0.0306061641587106	0.215820305814005	0.404812597802729	0.313967611633355	0.322894306039863	0.205321657825544	0.261877683191291	0.6551661534004	0.87589959766002	1	-0.0107780017537293	0.0540582188583441	-0.0607341287678027	-0.0215421665792415	-0.000996854212723418	-0.0199230387540437	-0.0225087852890345	0.0388000692013156	0.0282757109628834	0.0191888493058997	0.00376298334301749	0.0315602223517798	-0.037676844132288	-0.025753142058299	0.0516870815686553	0.00694444444444444	-0.0178679980731164	0.00147755062375425
SUR2.1	0.0342308892941192	-0.0245482342831864	0.0103673019476333	-0.031631982184266	-0.0208184459950091	-0.0562431506025274	0.112908795944616	-0.0289495882061789	0.048388579524251	0.0309951779461402	0.0192232829559082	-0.0135150422754937	0.0220369540899247	0.022372608405312	0.00509177635738363	0.0182461997030869	0.0201375405280915	-0.0040297400956071	-0.0107780017537293	1	0.353628556525722	0.238808293454157	0.131041645455505	0.0371470629578927	0.0894571008078876	0.0446984431459546	-0.00307443511164323	-0.00601423407732619	0.0406516823237275	0.0357746222694962	0.0189608968441369	0.0102869837724857	0.0211748909540244	-0.0287960101131964	0.0139512379581735	-0.00308299114881821	-0.0369491109653407
